Configuration Item,CI_TagName,CI_TagUserName,CI_TagDescription,CI_ValueSizeBytes,CI_ValueOptions,CI_ValueOptions,CI_InternalNotes,CI_UserVisibility,CI_ReadOnly,CI_Master_Default_Eugene,CI_Master_Default_Bologna,CI_Class2_Default,CI_Class3_Default,CI_Class4_Default,CI_Class5_Default,CI_Class6_Default,CI_Class8_Default,CI_Class9_Default,CI_Class10_Default,CI_Class11_Default,CI_Class12_Default,CI_Class13_Default,CI_AladdinMenuPathsAndCategories
BPLE,CI_GOOD_READ_BEEP_LENGTH,Good Read Beep Length (1-255 x 10 msec.),Specifies good-read beep duration,1,"[format=range]
min=01
max=0xFF
step=01
[PRG_ValueIncluded=false]",,"Times have a tolerance of 15%
Value is multiplied by 10 msec step.",PUBLIC_PRG,false,0x08,0x08,,,,,,,,,,,,GOOD
BPPU,CI_POWERUP_BEEP_ENABLE,Power On Alert,Specifies the type of audible indication that is made at powerup.,1,"[format=selection]
0x00=No indication
0x01=Power-up beep",,,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,POWERUP
BPTY,CI_GOOD_READ_BEEP_TYPE,Good Read Beep Type,Specifies the type of good read beep,1,"[format=selection]
0x00=Mono tone beep
0x01=Bitonal beep",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,GOOD
BPVO,CI_GOOD_READ_BEEP_VOLUME,Good Read Beep Volume,Specifies good-read beep volume,1,"[format=selection]
0x00=Beep OFF
0x01=Low volume
0x02=Medium volume
0x03=High volume",,,PUBLIC_PRG,false,0x03,0x03,,,,,,,,,,,,GOOD
DDBE,CI_DOCK_DETECT_BEEP_ENABLE,Dock Detect Beep,"If enabled, when the handheld is placed in a dock (cradle or corded stand), it will emit beeps.",1,"[format=selection]
0x00=Disable
0x01=Enable",,"this is equivalent with 
{ CI_VIRTUAL_STAND_BEEP        ,  {""BPVS""}, 0 , 1, IF_ALL , ALL_PRODUCTS ,  0 },  // 100 ms
in columbus",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,DOCK
DGT1,CI_TEST_CONFIGURATION_MASK_1,Test Configuration Mask 1,This configuration items allows certain testing features to be enabled or disabled.,1,"[format=range]
min=00
max=0xFF
step=01
[PRG_ValueIncluded=false]",,"This allows software test the ability to control certain operation in the scanner for testing purposes only. The default value of this configuration item as built is zero. 
Bit 0 : 0 = no beeper indication on service mode entry; 1 = beeper indicatin on service mode entry
Bit 1 : Reserved
Bit 2 : 1=disable trigger debounce logic, 0=enable trigger debounce logic
Bit 3 : Don't reset on Link label
Bit 4 : 1=20ms high pulse generated on laser pointer control line at reset
Bit 5 : Reserved
Bit 6 : 1= Statistics update every 2 sec
Bit 7 : 1= override powerup beep sequence with warbling beep",INTERNAL,false,0x00,0x00,,,,,,,,,,,,TEST
DGT2,CI_TEST_CONFIGURATION_MASK_2,Test Configuration Mask 2,Config item to allow software test to put device under test into specific mode.,1,"[format=range]
min=00
max=0xFF
step=01
[PRG_ValueIncluded=false]",,"Bit 0: 1=10 second ticks for CI_POWER_DOWN_TIMEOUT setting, 0=10 minute ticks
Bit 1: Disable label retry logic
Bit 2: base connectable when unlinked
Bit 3: 0=base made connectable on link attempt, 1=base made discoverable on link attempt",INTERNAL,false,0x64,0x64,,,,,,,,,,,,TEST
DGT3,CI_TEST_CONFIGURATION_MASK_3,Test Configuration Mask 3,Config item to allow software test to put device under test into specific mode.,1,"[format=range]
min=00
max=0xFF
step=01
[PRG_ValueIncluded=false]",,"Bit 0 : If set, send PDF data to host as codewords instead of decoded data.
BIT2 - base connectable when unlinked. Used for BT ping test.
Bits 1, 3-7: Unused",INTERNAL,false,0x00,0x00,,,,,,,,,,,,TEST
FAOE,CI_ORT_MODE_ENABLE,ORT Mode Enable/Disable,Enables/Disables ORT mode,1,"[format=selection]
0x00=Disable
0x01=Enable",,,INTERNAL,false,0x00,0x00,,,,,,,,,,,,ORT
FAPM,CI_PROG_MODE_SWITCH_ENABLE,Programming Mode Enable/Disable,Enables/Disables ability to be programmed via programming labels,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,PROG
FSEN,CI_FIVE_SECOND_TRIGGER_PULL_ENABLE,Five Second Trigger pull,Enables/Disables Five second trigger pull capability,1,"[format=selection]
0x00=Disable
0x01=Enable",,,INTERNAL,false,0x01,0x01,,,,,,,,,,,,FIVE
ICEN,CI_IMAGE_CAPTURE_ENABLE,Enable Image Capture,Enables/Disables the Image Capture feature.,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,IMAGE
IPBV,CI_IMAGE_BRIGHTNESS_VALUE,Image Brightness Value,"Specifies the Brightness variation value in percentage, applicable to the post-processing of captured Image.",1,"[format=range]
min=00
max=0x64
step=01
[PRG_ValueIncluded=false]
[ExtraOption=NotAvailableFor]
classes=11",,"This feature must be considered only for image Brightness property variation that is applicable as post processing image correction and does not affect the acquisition process of the images.
The 00 value means that no changes are applied to the original captured image. 
Percentage is the value unit.",INTERNAL,false,0x19,0x19,,,,,,,,,,,,IMAGE
IPCD,CI_IMAGE_CONTRAST_DIRECTION,Image Contrast Direction,Specifies the Contrast direction variation value for the captured Image.,1,"[format=selection]
0x00=Increase Value
0x01=Decrease Value
[ExtraOption=NotAvailableFor]
classes=11",,"This feature must be considered only for image Contrast variation that can be applicable as post processing image correction in conjunction with CI_IMAGE_CONTRAST_VALUE
The feature does not affect the acquisition process of the images.",INTERNAL,false,0x00,0x00,,,,,,,,,,,,IMAGE
IPCL,CI_IMAGE_COLOR_LEVEL,Color Gray Levels,Specifies the Color Depth expressed in scale of gray levels when post processing the captured Image.,1,"[format=selection]
0x01=Minimum Level
0x02=Medium Level
0x03=Maximum Level
[ExtraOption=NotAvailableFor]
classes=11",,"The different Enumeration option values correspond to three alternative optimezed algorithms applied to the capturing image.
The conventional name for user level correspond to the following number of gray levels:
Minimum Level is a 2 Gray Levels
Medium Level is a 16 Gray Levels
Maximum Level is a 256 Gray Levels",INTERNAL,false,0x03,0x03,,,,,,,,,,,,IMAGE
IPCV,CI_IMAGE_CONTRAST_VALUE,Image Contrast Value,"Specifies the Contrast variation value in percentage, applicable to the post-processing of captured Image.",1,"[format=range]
min=00
max=0x64
step=01
[PRG_ValueIncluded=false]
[ExtraOption=NotAvailableFor]
classes=11",,"This feature must be considered only for image Contrast property variation that is applicable as post processing image correction and does not affect the acquisition process of the images.
The 00 value means that no changes are applied to the original captured image. 
Percentage is the value unit.",INTERNAL,false,0x19,0x19,,,,,,,,,,,,IMAGE
IPFI,CI_IMAGE_CAPTURE_FORMAT_TYPE,Image Format,Specifies the option available for the post-processing formatting of captured Image.,1,"[format=selection]
0x00=Jpeg Format
0x02=BMP Format
0x04=RAW Format
[ExtraOption=NotAvailableFor]
classes=11",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,IMAGE
IPLD,CI_IMAGE_DECODING_LADDER_ACTIVATION_DELAY,Enable Decoding in Ladder Orientation Delay,"Specifies minumum number of frames to skip after the trigger pulled, before starting processing 1D labels in Ladder way.",1,"[format=range]
min=00
max=0xFF
step=01
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x00,0x00,,,,,,,,,,,,IMAGE
IPLE,CI_IMAGE_DECODING_LADDER_ENABLE,Enable Decoding in Ladder Orientation,Enable/Disable the ability to process 1D labels oriented in Ladder way.,1,"[format=selection]
0x00=Disable
0x01=Enable
0x02=Toggle every other Frame",,,INTERNAL,false,0x01,0x01,,,,,,,,,,,,IMAGE
IPQF,CI_IMAGE_CAPTURE_JPEG_QUALITY,JPEG Image Quality Factor (percentage),Specifies the quality factor of a JPEG for the post-processing formatting of captured Image.,1,"[format=range]
min=00
max=0x64
step=01
[PRG_ValueIncluded=false]
[ExtraOption=NotAvailableFor]
classes=11",,"The quality index increase while the compression factor decrease and vice versa.
Percentage is the value unit.",PUBLIC_PRG,false,0x5A,0x5A,,,,,,,,,,,,IMAGE
SNHD,CI_HAND_CAP_SENSOR,Enable hand sensor,"When enabled, Aiming and other feature feature will be activated only when the user has the scanner in his hand.",1,"[format=selection]
0x00=Disable
0x01=Enable",,,INTERNAL,false,0x00,0x00,,,,,,,,,,,,HAND
SNHS,CI_HAND_CAP_SENSOR_SENSITIVITY,Hand sensor Sensitivity,Select the hand sensor sensitivity,1,"[format=selection]
0x00=Low
0x01=Medium
0x02=High",,,INTERNAL,false,0x01,0x01,,,,,,,,,,,,HAND
LOGG,CI_LOGGER_PRIORITY_LEVEL,Logger Priority Level,,1,"[format=range]
min=0x00
max=0xFF
step=01",,,INTERNAL,false,0x0A,0x0A,,,,,,,,,,,,LOGGER
DDTI,CI_DROP_DETECT_TIME_INTERVAL,Drop detect interval to consider a drop unit 5ms,,1,"[format=range]
min=0x00
max=0xFF
step=01",,,INTERNAL,false,0x3C,0x3C,,,,,,,,,,,,DROP
DDTH,CI_DROP_DETECT_THRESHOLD,Drop detect threshold for freefall and impact,,2,"[format=range]
min=0x01
max=0x1388
step=01",,,INTERNAL,false,0x271,0x271,,,,,,,,,,,,DROP
C2EN,CI_COMPRESSED_2OF5_ENABLE,Compressed 2 of 5 Enable/Disable,Enables/Disables ability to decode Compressed 2 of 5 labels.,1,"[format=selection]
0x00=Disable
0x01=Enable",,,INTERNAL,false,0x00,0x00,,,,,,,,,,,,COMPRESSED
C2L1,CI_COMPRESSED_2OF5_LENGTH_1,Compressed 2 of 5 Set Length 1,Specifies one of the barcode lengths for Compressed 2 of 5 length control.,1,"[format=range]
min=0x01
max=0x32
step=01",,,INTERNAL,false,0x01,0x01,,,,,,,,,,,,COMPRESSED
C2L2,CI_COMPRESSED_2OF5_LENGTH_2,Compressed 2 of 5 Set Length 2,Specifies one of the barcode lengths for Compressed 2 of 5 length control.,1,"[format=range]
min=0x00
max=0x32
step=01",,,INTERNAL,false,0x32,0x32,,,,,,,,,,,,COMPRESSED
C2LC,CI_COMPRESSED_2OF5_LENGTH_CONTROL,Compressed 2 of 5 Length Control,Specifies either variable-length decoding or fixed-length decoding for Compressed 2 of 5,1,"[format=selection]
0x00=Variable-length decoding
0x01=Fixed-length decoding",,,INTERNAL,false,0x00,0x00,,,,,,,,,,,,COMPRESSED
C2CC,CI_COMPRESSED_2OF5_CHECK_CHARACTER_CALCULATION,Compressed 2 of 5 Check Character Calculation,Enables/Disables calculation and verification of optional Compressed 2 of 5 check character.,1,"[format=selection]
0x00=Disable
0x01=Enable",,,INTERNAL,false,0x00,0x00,,,,,,,,,,,,COMPRESSED
C2CT,CI_COMPRESSED_2OF5_CHECK_CHARACTER_TRANSMISSION,Compressed 2 of 5 Check Character Transmission,Enables/Disables transmission of optional Compressed 2 of 5 check character.,1,"[format=selection]
0x00=Disable
0x01=Enable",,,INTERNAL,false,0x01,0x01,,,,,,,,,,,,COMPRESSED
C2AI,CI_COMPRESSED_2OF5_AIM_ID_ENABLE,Compressed 2 of 5 AIM ID,Enables/Disables AIM ID for Compressed 2 of 5.,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,,INTERNAL,false,0x00,0x00,,,,,,,,,,,,"COMPRESSED,AIMID"
C2ID,CI_LABEL_ID_COMPRESSED_2OF5,Set Compressed 2 of 5 Label ID Character(s),Specifies Compressed 2 of 5 label ID to be added to label data,3,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",,The label ID is 20 bytes. The 20 bytes are 20 characters for the label ID.,INTERNAL,false,0x680000,0x680000,,0x480000,,0x682000,,0x682000,,,,,,COMPRESSED_2OF5
UNDL,CI_UPCEAN_DECODING_LEVEL,UPC EAN Decoding Level,UPC EAN Decoding Level,1,"[format=range]
min=0x00
max=0x05
step=01
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x03,0x03,,,,,,,,,,,,UPCEAN
C3DL,CI_CODE39_DECODING_LEVEL,Code 39 decoding level,Code 39 decoding level,1,"[format=range]
min=0x00
max=0x05
step=01
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x03,0x03,,,,,,,,,,,,CODE39
C8DL,CI_CODE128_DECODING_LEVEL,Code 128 decoding level,Code 128 decoding level,1,"[format=range]
min=0x00
max=0x05
step=01
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x03,0x03,,,,,,,,,,,,CODE128
ABMR,CI_UPCA_MINIMUM_READ,UPCA Minimum Read,UPCA Minimum Read,1,"[format=range]
min=0x01
max=0x04
step=01
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x01,0x01,,,,,,,,,,,,UPCA
EBMR,CI_UPCE_MINIMUM_READ,UPCE Minimum Read,UPCE Minimum Read,1,"[format=range]
min=0x01
max=0x04
step=01
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x02,0x02,,,,,,,,,,,,UPCE
8BMR,CI_EAN8_MINIMUM_READ,EAN8 Minimum Read,EAN8 Minimum Read,1,"[format=range]
min=0x01
max=0x04
step=01
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x01,0x01,,,,,,,,,,,,EAN8
3BMR,CI_EAN13_MINIMUM_READ,EAN13 Minimum Read,EAN13 Minimum Read,1,"[format=range]
min=0x01
max=0x04
step=01
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x01,0x01,,,,,,,,,,,,EAN13
ADM2,CI_P2_ADDON_MINIMUM_READ,Addon 2 Minimum read,Addon 2 Minimum read,1,"[format=range]
min=0x01
max=0x04
step=01
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x02,0x02,,,,,,,,,,,,P2
ADM5,CI_P5_ADDON_MINIMUM_READ,Addon 5 Minimum read,Addon 5 Minimum read,1,"[format=range]
min=0x01
max=0x04
step=01
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x01,0x01,,,,,,,,,,,,P5
INMR,CI_INSTORE_MINIMUM_READ,Instore Minimum Read,Instore Minimum Read,1,"[format=range]
min=0x01
max=0x04
step=01
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x02,0x02,,,,,,,,,,,,INSTORE
C3MR,CI_CODE39_MINIMUM_READ,Code 39 minimum read,Code 39 minimum read,1,"[format=range]
min=0x01
max=0x04
step=01
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x02,0x02,,,,,,,,,,,,CODE39
C8MR,CI_CODE128_MINIMUM_READ,Code 128 minimum read,Code 128 minimum read,1,"[format=range]
min=0x01
max=0x04
step=01
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x01,0x01,,,,,,,,,,,,CODE128
SNLG,CI_LABEL_GONE_TIMEOUT,Label gone time out,Label gone time out,1,"[format=range]
min=0x00
max=0xFF
step=01
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x00,0x00,,,,,,,,,,,,CI_LABEL_GONE_TIMEOUT
8BSB,CI_EAN8_MINIMUM_SEGMENT_LENGTH_BLOCK,EAN8 Minimum Segment length block,EAN8 Minimum Segment length block,1,"[format=range]
min=0x05
max=0x0F
step=01
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x08,0x08,,,,,,,,,,,,EAN8
N2MR,CI_EAN_TWO_LABEL_MINIMUM_READ,EAN Two Label Minimum Read,EAN Two Label Minimum Read,1,"[format=range]
min=0x01
max=0x04
step=01
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x01,0x01,,,,,,,,,,,,EAN
CREN,CI_CODE4_ENABLE,Code 4 Enable,Code 4 Enable,1,"[format=selection]
0x00=Disable
0x01=Enable
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x00,0x00,,,,,,,,,,,,CODE4
CRAI,CI_CODE4_AIM_ID_ENABLE,Code 4 AIM ID,Enables/Disables AIM ID for Code 4,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,INTERNAL,false,0x00,0x00,,,,,,,,,,,,"CODE4,AIMID"
CRID,CI_LABEL_ID_CODE4,Set Code 4 Label ID Character(s),Specifies Code 4 label ID to be added to label data,3,"[format=ascii]
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x340000,0x340000,,,,,,,,,,,,CODE4
C5EN,CI_CODE5_ENABLE,Code 5 Enable,Code 5 Enable,1,"[format=selection]
0x00=Disable
0x01=Enable
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x00,0x00,,,,,,,,,,,,CODE5
C5AI,CI_CODE5_AIM_ID_ENABLE,Code 5 AIM ID,Enables/Disables AIM ID for Code 5,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,INTERNAL,false,0x00,0x00,,,,,,,,,,,,"CODE5,AIMID"
C5ID,CI_LABEL_ID_CODE5,Set Code 5 Label ID Character(s),Specifies Code 5 label ID to be added to label data,3,"[format=ascii]
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x6A0000,0x6A0000,,,,,,,,,,,,CODE5
CFEN,CI_CODABLOCK_F_ENABLE,Codablock F Enable,Codablock F Enable,1,"[format=selection]
0x00=Disable
0x01=Enable
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x00,0x00,,,,,,,,,,,,CODABLOCK
CFAI,CI_CODABLOCK_F_AIM_ID_ENABLE,Codablock F AIM ID,Enables/Disables AIM ID for Codablock F,1,"[format=selection]
0x00=Disable
0x01=Enable
[ExtraOption=NotAvailableFor]
classes=11",,Effective only when CI_ALL_AIM_ID_ENABLE is disabled.,INTERNAL,false,0x00,0x00,,,,,,,,,,,,"CODABLOCK,AIMID"
CFID,CI_LABEL_ID_CODABLOCK_F,Set Codablock F Label ID Character(s),Specifies Codablock F label ID to be added to label data,3,"[format=ascii]
[PRG_ValueIncluded=false]",,The label ID is 3 bytes. The 3 bytes are characters for the label ID. A 00 (hex) value in the first 3 bytes indicates the end of the label ID characters.,INTERNAL,false,0x6C0000,0x6D0000,,,,0x6C2000,,0x6C2000,,0x6D0000,,,,CODABLOCK_F
CFL1,CI_CODABLOCK_F_LENGTH_1,Codablock F Set Length 1,Specifies one of the barcode lengths for Codablock F length control,1,"[format=range]
min=0x03
max=0xFF
step=0x01
except=0x01,0x02
[PRG_ValueIncluded=false]",,"Length 1 is the minimum label length if in variable length mode, or the first fixed length if in fixed length mode. Length includes the barcode s start, stop, check and data characters. The length must include at least one data character.",INTERNAL,false,0x03,0x03,,,,,,,,,,,,CODABLOCK
CFL2,CI_CODABLOCK_F_LENGTH_2,Codablock F Set Length 2,Specifies one of the barcode lengths for Codablock F length control,1,"[format=range]
min=00
max=0xFF
step=01
[PRG_ValueIncluded=false]",,"Length 2 is the maximum label length if in variable length mode, or the second fixed length if in fixed length mode. Length includes the barcode s check and data characters.",INTERNAL,false,0x64,0x64,,,,,,,,,,,,CODABLOCK
CFLC,CI_CODABLOCK_F_LENGTH_CONTROL,Codablock F Length Control,Specifies either variable-length decoding or fixed-length decoding for Codablock F,1,"[format=selection]
0x00=Variable-length decoding
0x01=Fixed-length decoding",,"For variable-length decoding, a minimum length may be set; for fixed-length decoding, two different lengths may be set",INTERNAL,false,0x00,0x00,,,,,,,,,,,,CODABLOCK
BALH,CI_BATTERY_LEVEL_HIGH,Battery High level threshold (0-100 Percentage),,1,"[format=range]
min=0x00
max=0x64
step=01",,,INTERNAL,false,0x64,0x64,,,,,,,,,,,,BATTERY
BALL,CI_BATTERY_LEVEL_LOW,Battery Low level threshold (0-100 Percentage),,1,"[format=range]
min=0x00
max=0x64
step=01",,,INTERNAL,false,0x02,0x02,,,,,,,,,,,,BATTERY
BALO,CI_BATTERY_LEVEL_OFF,Battery OFF threshold (0-50 Percentage),,1,"[format=range]
min=0x00
max=0x32
step=01",,,INTERNAL,false,0x01,0x01,,,,,,,,,,,,BATTERY
BALU,CI_MINIMUM_BATTERY_FOR_UPGRADE,Minimum Battery Level for upgrade,Minimum battery level for allowing the firmware upgrade when the upgrade is completly supported by the battery. (HH not docked on the charger),1,"[format=range]
min=0x00
max=0x64
step=01",,,INTERNAL,false,0x07,0x07,,,,,,,,,,,,MINIMUM
BBEN,CI_BASE_BUTTON_ENABLE,Base Station Button Enables/Disables,Enables/Disables the base button.,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,BASE
BCHP,CI_BATTERY_PROFILES,Battery Profiles,Select the active Battery Profile,1,"[format=selection]
0x00=Maximum Performances
0x01=Battery Health
0x02=Battery Save
0x03=Fast Charge",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,BATTERY
BLAR,CI_BATTERY_LEVEL_AVAILABLE_REQUESTS,Battery Level Request,Specifies which is the event that triggers the Battery Led.,1,"[format=selection]
0x00=Disabled
0x01=Double Tap
0x02=Horizontal Shake (future impl.)
0x03=Wake up (future impl.)",,,INTERNAL,false,0x01,0x01,,,,,,,,,,,,BATTERY
BPCE,CI_BEEPER_CHARGE_ENABLE,Battery Charge Beeps Enable,"Enables/Disables the battery charge beeps (charge started, charge completed)",1,"[format=selection]
0x00=Disable
0x01=Enable",,,INTERNAL,false,0x01,0x01,,,,,,,,,,,,BEEPER
BTAB,CI_RF_ACK_BEEP,ACK Beep,Enables/Disables the ACK beep indication.,1,"[format=selection]
0x00=ACK Beep Disable
0x01=ACK Beep enabled",,The ACK beep occurs in reponse to the label acknowledgement (HACK) from the Base station. When the HACK is sent depends on the config item CI_RF_TRANSMIT_HACK.,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,RF
BTAD,CI_RF_ADDRESS_STAMPING_DELIMITER,Source Radio Address Delimiter Character,Specifies the delimiter character placed between the label data and radio address when address stamping is enabled,1,"[format=ascii]
[PRG_ValueIncluded=false]",,A value of 0x00 denotes no delimiter character,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,RF
BTAS,CI_RF_ADDRESS_STAMPING,Source Radio Address Transmit,"Specifies whether (and if so, where) to include source-radio ID in label transmitted to host",1,"[format=selection]
0x00=Do not include source-radio ID
0x01=Include source-radio ID as prefix",,"When included as a prefix, the source-radio ID is displayed after all label formatting has been applied.
The 6 byte hex address is sent as 12 ascii characters, ie, an address of:
 00 06 66 00 1A ED
will be sent as (shown in hex):
 30 30 30 36 36 36 30 30 31 41 45 44",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,RF
BTBD,CI_RF_BEEP_DURATION,Beep Duration (1-255 X 10msec.),Beep duration of the radio specific beep indications,1,"[format=range]
min=01
max=0xFF
step=01
[PRG_ValueIncluded=false]",,Value is multiplied by 10 msec step.,PUBLIC_PRG,false,0x08,0x08,,,,,,,,,,,,RF
BTBF,CI_RF_BEEP_FREQUENCY,Beep Frequency,Beep frequency of the radio specific beep indications,1,"[format=selection]
0x00=Low
0x01=Medium
0x02=High",,,PUBLIC_PRG,false,0x02,0x02,,,,,,,,,,,,RF
BTBM,CI_RF_BATCH_MODE,Batch Mode,Specifies which mode to use to store labels in the Handheld while disconnected from the Base,1,"[format=selection]
0x00=Disable
0x01=Enable Auto mode
0x02=Enable manual mode",,"When disabled the HH will not batch labels. In Auto mode, the HH will store labels to RAM when the HH goes out of range and is disconnected from the remote device. In Manual mode, the HH will always store labels to Flash memory. The user must manually send the stored labels to the remote device using a special ""batch send"" label.",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,RF
BTBV,CI_RF_BEEP_VOLUME,Beep Volume,Beep volume of the radio specific beep indications,1,"[format=selection]
0x00=Low
0x01=Medium
0x02=High",,,PUBLIC_PRG,false,0x02,0x02,,,,,,,,,,,,RF
RFCA,CI_RF_CONNECT_ADDITIONAL_INDICATION,Radio Connection Additional Indication,Select additional UI indication during the Connect event.,1,"[format=selection]
0x00=No additional indications
0x01=Led additional indication
0x02=Viber additional indication
0x03=Led and Viber additional indications
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x00,0x00,,,,,,,,,,,,RF
BTCB,CI_BT_CONNECT_BEEP,Connect Beep,Enables/Disables the connect beep indication.,1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,BT
BTCU,CI_RF_AUTO_CONFIG_UPDATE,Automatic Configuration Update,"Enables/Disables the ability of the Handheld and Base station to automatically update config of the remote device when the config CRCs are different, or when the Handheld exits Label Programming mode.",1,"[format=selection]
0x00=Disable
0x01=Enable",,,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,RF
RFDA,CI_RF_DISCONNECT_ADDITIONAL_INDICATION,Radio Disconnection Additional Indication,Select additional UI indication during the Disconnect event.,1,"[format=selection]
0x00=No additional indications
0x01=Led additional indication
0x02=Viber additional indication
0x03=Led and Viber additional indications
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x00,0x00,,,,,,,,,,,,RF
BTDB,CI_BT_DISCONNECT_BEEP,Disconnect Beep,Enables/Disables the disconnect beep indication.,1,"[format=selection]
0x00=Disable
0x01=Enable",,The disconnect beep indication at startup is not under control of the config item. It is always heard.,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,BT
BTDL,CI_RF_DIRECT_LINK_ENABLE,Direct Radio Link Enable,Enables/Disables the ability to link a Radio HH to a cradle without scanning the Unlink label first.,1,"[format=selection]
0x00=Standard Type of Linking
0x01=Direct Type of Linking",,,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,RF
RFEA,CI_RF_ERROR_ALTERNATE_INDICATION,Radio Error Alternative Indication,Select alternative UI indication during the Radio Error event.,1,"[format=selection]
0x00=No indications
0x01=Beep indication
0x02=Led indication
0x03=Beep and Led indications
0x04=Viber indication
0x05=Beep and Viber indications
0x06=Led and Viber indications
0x07=Beep, Led and Viber indications
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x01,0x01,,,,,,,,,,,,RF
BTFU,CI_RF_AUTO_FLASH_UPDATE,Automatic Flash Update,Enables/Disables auto flash update in a wireless scanner,1,"[format=selection]
0x00=Disable
01=Enable",,,PUBLIC_PRG,false,0x01,0x01,,,,,,,,,,,,RF
BTLB,CI_BT_LEASH_MODE_BEEP,Leash Mode Beep (0-255 sec.),Specifies the number of seconds to sound the Leash Mode beep when the Handheld goes out of range.,1,"[format=range]
min=00
max=0xFF
step=01
[PRG_ValueIncluded=false]",,A setting of 00 disables the Leash mode beep. The beep occurs 3 times per second. Value is multiplied by 1 sec step.,PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,BT
RFTA,CI_RF_TIMEOUT_ALTERNATE_INDICATION,Radio Timeout Alternative Indication,Select alternative UI indication during the Radio Timeout event.,1,"[format=selection]
0x00=No indications
0x01=Beep indication
0x02=Led indication
0x03=Beep and Led indications
0x04=Viber indication
0x05=Beep and Viber indications
0x06=Led and Viber indications
0x07=Beep, Led and Viber indications
[PRG_ValueIncluded=false]",,,INTERNAL,false,0x01,0x01,,,,,,,,,,,,RF
BTTD,CI_RF_BATCH_TX_DELAY,RF Batch Mode Transmit Delay,Specifies delay between transmitting labels stored in batch memory,1,"[format=selection]
0x00=No Delay
0x05=50 millisec
0x0A=100 millisec
0x32=0.5 second
0x64=1 second
0xFA=2.5 seconds
[PRG_ValueIncluded=false]",,"value 00 = no delay
Value is multiplied by 10 msec step.",PUBLIC_PRG,false,0x00,0x00,,,,,,,,,,,,RF
GBGT,CI_GOOD_READ_BEEP_GUARD_TIME,Good Read Beep Guard Time (0-50 x 100msec. ),,1,"[format=range]
min=0x00
max=0x32
step=01",,"Good Read beep guard, it's the ""minimum time"" before allowing ACK beep to interrupt good read beep. Final value is multiplied by 100 ms.",INTERNAL,false,0x02,0x02,,,,,,,,,,,,GOOD
