Name,CI_Master_Default_Eugene,CI_Master_Default_Bologna,CI_Class2_Default,CI_Class3_Default,CI_Class4_Default,CI_Class5_Default,CI_Class6_Default,CI_Class7_Default,CI_Class8_Default,CI_Class9_Default,CI_Class10_Default,CI_Class11_Default,CI_Class12_Default,CI_Class13_Default,CI_Class14_Default,CI_Class15_Default,CI_ValueOptions,CI_TagName
SNPT,0x58,0x58,,,,,,,,,,,,,,,"[format=range]
min=01
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_MOBILE_PHONE_DARK_THRESHOLD
SNPS,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x02
step=01
[PRG_ValueIncluded=false]",CI_MOBILE_PHONE_SATURATION_RATE
SNPR,0x19,0x19,,,,,,,,,,,,,,,"[format=range]
min=01
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_MOBILE_PHONE_DARK_RATE
SNPM,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
02=precise",CI_PICK_MODE_ENABLE
SNPE,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
02=Display Mode",CI_MOBILE_PHONE_ENABLE
SNPD,0x04,0x04,,,,,,,,,,,,,,,"[format=range]
min=01
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_MOBILE_PHONE_DURATION
SNOT,0x06,0x06,,,,,,,,,,,,,,,"[format=range]
min=00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_OBJECT_SENSE_TIME
SNOO,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=0x01
[PRG_ValueIncluded=false]",CI_OBJECT_ILLUM_OFF_TIMEOUT
SNON,0x0A,0x0A,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=0x1
[PRG_ValueIncluded=false]",CI_OBJECT_ILLUM_ON_TIMEOUT
SNOG,0x02,0x02,,,,,,,,,,,,,,,"[format=range]
min=01
max=0x14
step=01
[PRG_ValueIncluded=false]",CI_OBJECT_GONE_TIMEOUT
SNMT,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Transmit Increasing Length Order
02=Transmit Decreasing Length Order",CI_MULTIPLE_LABEL_TRANSMIT_ORDER
SNMS,0x000000000000,0x000000000000,,,,,,,,,,,,,,,,CI_MULTIPLE_LABEL_TRANSMIT_SYMBOLOGY
SNML,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_MULTIPLE_LABEL_ENABLE
SNMF,0x05,0x05,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x3F
step=01
[PRG_ValueIncluded=false]",CI_MULTIFRAME_TIMEOUT
SNLG,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_LABEL_GONE_TIMEOUT
SNFN,0x0A,0x0A,,,,,,,,,,,,,,,"[format=range]
min=01
max=0x63
step=01
[PRG_ValueIncluded=false]",CI_FLASH_ON_TIME
SNFF,0x06,0x06,,,,,,,,,,,,,,,"[format=range]
min=01
max=0x63
step=01
[PRG_ValueIncluded=false]",CI_FLASH_OFF_TIME
SNET,0x05,0x05,,,,,,,,,,,,,,,"[format=range]
min=01
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_ELAPSE_TIME
SNDR,0x3C,0x3C,,,,,,,,,,,,,,,"[format=range]
min=01
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_DOUBLE_READ_TIMEOUT
SMVS,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Generic Stand
02=Permanent Stand
03=Precise Stand",CI_VIRTUAL_STAND_ENABLE
SMTO,0x05,0x05,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x63
step=01
[PRG_ValueIncluded=false]",CI_LOW_POWER_TIMEOUT
SMSE,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Low
01=Medium
02=High",CI_STAND_MODE_SENSITIVITY
SMSD,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Ignore autorecognition
01=Switch to stand mode
02=Switch to always on
03=Switch to flashing",CI_STAND_DETECTION
SMIL,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Off
01=On
02=DIM
03=Off",CI_STAND_ILLUMINATION_ENABLE
SMFL,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_STAND_MODE_FLASH_ENABLE
SLTO,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x63
step=01
[PRG_ValueIncluded=false]",CI_SLEEP_TIMEOUT
SLQS,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_ORT_POWER_DOWN_TIMEOUT
SLPS,0x06,0x06,0x03,0x03,,0x03,0x03,,0x03,0x03,0x03,0x03,0x03,,,,"[format=range]
min=00
max=0xFF
step=01
[PRG_ValueIncluded=false]",CI_POWER_DOWN_TIMEOUT
SLEN,1,1,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_POWER_SAVE_ENABLE
SBTO,0x05,0x05,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x63
step=01
[PRG_ValueIncluded=false]",CI_STAND_BY_TIMEOUT
S2ST,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_S25_STITCHING_ENABLE
S2MR,2,2,,,,,,,,,,,,,,,"[format=range]
min=01
max=04
step=01
[PRG_ValueIncluded=false]",CI_S25_MINIMUM_READ
S2LC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Variable-length decoding
01=Fixed-length decoding",CI_S25_LENGTH_CONTROL
S2L2,0x32,0x32,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x32
step=01
[PRG_ValueIncluded=false]",CI_S25_LENGTH_2
S2L1,0x08,0x08,,,,,,,,,,,,,,,"[format=range]
min=01
max=0x32
step=01
[PRG_ValueIncluded=false]",CI_S25_LENGTH_1
S2ID,0x730000,0x500000,,0x480000,0x730000,0x732000,,,0x732000,,0x500000,,,0x730000,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_S25
S2EN,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_S25_ENABLE
S2CT,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_S25_CHECK_CHAR_TXMIT
S2CO,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_S25_CORRELATION_ENABLE
S2CC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_S25_CHECK_CHARACTER
S2AI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_S25_AIM_ID_ENABLE
S1AD,0,0,,,,,,,,,,,,,,,"[format=range]
min=00
max=1999
step=01
[PRG_ValueIncluded=false]",CI_ADDRESS_SS_10
RSSA,0,0,,,,,,,,,,,,,,,"[format=range]
min=0
max=1999
step=01
[PRG_ValueIncluded=false]",CI_STAR_RADIO_SELF_ADDRESS
RMXA,0,0,,,,,,,,,,,,,,,"[format=range]
min=0
max=1999
step=01
[PRG_ValueIncluded=false]",CI_STAR_RADIO_MAX_SAT_ADDRESS
RMNA,0,0,,,,,,,,,,,,,,,"[format=range]
min=0
max=1999
step=01
[PRG_ValueIncluded=false]",CI_STAR_RADIO_MIN_SAT_ADDRESS
RFTS,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disabled.
01=ISO 8601: Date'T'Time.
02=DateTime.
03=TimeDate.
04=Date.
05=Time.",CI_RF_TIME_STAMPING
RFTD,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=0x00
max=0xFF
[PRG_ValueIncluded=false]",CI_RF_TIME_STAMPING_DELIMITER
R4RZ,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable Network
01=Enable RS-485 Slave
02=Enable RS-485 Master",CI_RS485_WORKING_MODE
R4JH,1,1,,,,,,,,,,,,,,,"[format=selection]
00=No Transmitted
01=Transmitted",CI_RS485_RECEPTION_WARNING_MESSAGE_TX
R4JG,0,0,,,,,,,,,,,,,,,"[format=selection]
00=No Transmitted
01=Transmitted",CI_RS485_NETWORK_WARNING_MESSAGE
R4JE,0,0,,,,,,,,,,,,,,,"[format=selection]
00=baudrate 9600
01=BaudRate 19200
02=BaudRate 34800",CI_RS485_NETWORK_BAUDRATE
R4JC,0,0,,,,,,,,,,,,,,,"[format=range]
min=00
max=1999
step=01
[PRG_ValueIncluded=false]",CI_RS485_SLAVE_MAXIMUM_ADDRESS
R4JB,0,0,,,,,,,,,,,,,,,"[format=range]
min=00
max=1999
step=01
[PRG_ValueIncluded=false]",CI_RS485_SLAVE_MINIMUM_ADDRESS
R4A1,0x0D0A000000000000,0x0D0A000000000000,,,,,,,,,,,,,,,"[format=ascii]

[PRG_ValueIncluded=false]",CI_RS485_MASTER_TERMINATOR
R4A0,0,0,,,,,,,,,,,,,,,"[format=ascii]

[PRG_ValueIncluded=false]",CI_RS485_MASTER_HEADER
R2TF,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=5,8,9,11,12",CI_RS232_INDICATE_TRANSMISSION_FAILURE
R2ST,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=One
01=Two
[ExtraOption=NotAvailableFor]
classes=5,8,9,11,12",CI_RS232_NUMBER_OF_STOP_BITS
R2PA,0x00,0x00,,0x02,,,,,,,,,,,,,"[format=selection]
00=None
01=Even
02=Odd
[ExtraOption=NotAvailableFor]
classes=5,8,9,11,12",CI_RS232_PARITY
R2NA,0x15,0x15,,,,,,,,,,,,,,,"[format=ascii]
[PRG_ValueIncluded=false]
[ExtraOption=NotAvailableFor]
classes=5,8,9,11,12",CI_RS232_NAK_CHARACTER
R2IC,0x00,0x00,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x63
step=01
[PRG_ValueIncluded=false]
[ExtraOption=NotAvailableFor]
classes=5,8,9,11",CI_INTER_CHARACTER_DELAY
R2HC,0x00,0x00,,0x01,0x05,,,,,,,,,0x00,,,"[format=selection]
00=RTS
01=RTS/CTS
02=RTS/XON/XOFF
03=RTS On/CTS
04=RTS/CTS scan control
05=RTS Off
[ExtraOption=NotAvailableFor]
classes=5,8,9,11,12",CI_RS232_HANDSHAKE_CONTROL
R2EH,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Ignore errors detected
01=Process error as valid ACK character
02=Process error as valid NAK character
[ExtraOption=NotAvailableFor]
classes=5,8,9,11,12",CI_RS232_ACK_NAK_ERROR_HANDLING
R2EC,0x45,0x45,,,,,,,,,,,,,,,"[format=ascii]
except=0xFF
[PRG_ValueIncluded=false]
[ExtraOption=NotAvailableFor]
classes=5,8,9,11",CI_RS232_ENABLE_COMMAND_VALUE
R2DC,0x44,0x44,,,,,,,,,,,,,,,"[format=ascii]
except=0xFF
[PRG_ValueIncluded=false]
[ExtraOption=NotAvailableFor]
classes=5,8,9,11",CI_RS232_DISABLE_COMMAND_VALUE
R2DA,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Seven data bits
01=Eight data bits
[ExtraOption=NotAvailableFor]
classes=5,8,9,11,12",CI_RS232_NUMBER_OF_DATA_BITS
R2BB,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=5,8,9,11",CI_BEEP_ON_ASCII_BEL
R2BA,0x07,0x03,,0x03,0x03,,0x07,,,,0x07,,,0x03,,,"[format=selection]
0x00=1200
0x01=2400
0x02=4800
0x03=9600
0x04=19200
0x05=38400
0x06=57600
0x07=115200
[ExtraOption=NotAvailableFor]
classes=5,8,9,11,12",CI_RS232_BAUD_RATE
R2AT,0x01,0x01,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x4B
step=01
[PRG_ValueIncluded=false]
[ExtraOption=NotAvailableFor]
classes=5,8,9,11,12",CI_RS232_ACK_NAK_TIMEOUT_VALUE
R2AR,0x03,0x03,,,,,,,,,,,,,,,"[format=range]
min=00
max=0xFF
step=01
[PRG_ValueIncluded=false]
[ExtraOption=NotAvailableFor]
classes=5,8,9,11,12",CI_RS232_ACK_NAK_RETRY_COUNT
R2AE,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable ACK/NAK
01=Enable ACK/NAK for label transmission
02=Enable ACK/NAK for host-command acknowledge
03=Enable ACK/NAK for label transmission and host-cmd acknowledge
[ExtraOption=NotAvailableFor]
classes=5,8,9,11,12",CI_RS232_ACK_NAK_ENABLE
R2AC,0x06,0x06,,,,,,,,,,,,,,,"[format=ascii]
[PRG_ValueIncluded=false]
[ExtraOption=NotAvailableFor]
classes=5,8,9,11,12",CI_RS232_ACK_CHARACTER
QRMF,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_QRCODE_MULTIFRAME_ENABLE
QRLC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Variable-length decoding
01=Fixed-length decoding",CI_QRCODE_LENGTH_CONTROL
QRL2,0x1BB1,0x1BB1,,,,,,,,,,,,,,,"[format=range]
min=0000
max=0x1BB1
step=01
[PRG_ValueIncluded=false]",CI_QRCODE_LENGTH_2
QRL1,0x0001,0x0001,,,,,,,,,,,,,,,"[format=range]
min=0001
max=0x1BB1
step=01
[PRG_ValueIncluded=false]",CI_QRCODE_LENGTH_1
QRID,0x515200,0x790000,,0x550000,0x500000,,,,,,0x790000,,,0x500000,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_QRCODE
QREN,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_QRCODE_ENABLE
QRAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_QRCODE_AIM_ID_ENABLE
PZID,0x245A00,0x245A00,,0x4D0000,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_CODE39_PZN
PZEN,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_CODE39_PZN_ENABLE
PWFZ,0xFFFF,0xFFFF,,,,,,,,,,,,,,,"[format=range]
min=0x0000
max=0xFFFF
step=0x01
[PRG_ValueIncluded=false]",CI_KEYBOARD_LIST_EN_DIS_BUTTONS
PWEY,5,5,,,,,,,,,,,,,,,"[format=selection]
01=F1
02=F2
03=F3
04=F4
05=F5",CI_KEYBOARD_SET_SHIFT_BUTTON
PWEV,0x0000,0x0000,,,,,,,,,,,,,,,"[format=range]
min=0x0000
max=0x0FFF
step=01
[PRG_ValueIncluded=false]",CI_KEYBOARD_SET_ACTION_FOR_F1
PWEU,0x0000,0x0000,,,,,,,,,,,,,,,"[format=range]
min=0x0000
max=0x0FFF
step=01
[PRG_ValueIncluded=false]",CI_KEYBOARD_SET_ACTION_FOR_F3
PWET,0x0000,0x0000,,,,,,,,,,,,,,,"[format=range]
min=0x0000
max=0x0FFF
step=01
[PRG_ValueIncluded=false]",CI_KEYBOARD_SET_ACTION_FOR_F2
PWES,0x0000,0x0000,,,,,,,,,,,,,,,"[format=range]
min=0x0000
max=0x0FFF
step=01
[PRG_ValueIncluded=false]",CI_KEYBOARD_SET_ACTION_FOR_F4
PWER,1,1,,,,,,,,,,,,,,,"[format=selection]
00=Disabled
01=Enabled
",CI_KEYBOARD_SET_SHIFT_FOR_MENU
PWEQ,0x0000,0x0000,,,,,,,,,,,,,,,"[format=range]
min=0x0000
max=0x0FFF
step=01
[PRG_ValueIncluded=false]",CI_KEYBOARD_SET_ACTION_FOR_SHIFT
PWEP,0x53310000000000000000000000000000,0x53310000000000000000000000000000,,,,,,,,,,,,,,,[format=ascii],CI_KEYBOARD_SET_STRING1
PWEN,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable 4-digit price/wt check-digit calculation
02=Enable 5-digit price/wt check-digit calculation
03=Enable European 4-digit price-weight check-digit calculation
04=Enable European 5-digit price-weight check-digit calculation",CI_DO_PRICE_WEIGHT_CHECK
PWEM,0x53340000000000000000000000000000,0x53340000000000000000000000000000,,,,,,,,,,,,,,,[format=ascii],CI_KEYBOARD_SET_STRING4
PWEL,0x53350000000000000000000000000000,0x53350000000000000000000000000000,,,,,,,,,,,,,,,[format=ascii],CI_KEYBOARD_SET_STRING5
PWEG,0,0,,,,,,,,,,,,,,,[format=ascii],CI_KEYB_KEYSEQ_HEAD
PWEF,0,0,,,,,,,,,,,,,,,[format=ascii],CI_KEYB_STRING_TERM
PWED,0,0,,,,,,,,,,,,,,,[format=ascii],CI_KEYB_STRING_HEAD
PWEC,0,0,,,,,,,,,,,,,,,[format=ascii],CI_KEYBOARD_KEYSEQ_ID
PWEB,0,0,,,,,,,,,,,,,,,[format=ascii],CI_KEYBOARD_STRING_ID
PWEA,0x53330000000000000000000000000000,0x53330000000000000000000000000000,,,,,,,,,,,,,,,[format=ascii],CI_KEYBOARD_SET_STRING3
PSID,0x245800,0x245800,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_POSTAL_SWEDISH
PSAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_POSTAL_SWEDISH_AIM_ID_ENABLE
PRID,0x244D00,0x244D00,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_POSTAL_ROYAL_MAIL
PRAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_POSTAL_ROYAL_MAIL_AIM_ID_ENABLE
PPID,0x245700,0x245700,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_POSTAL_PLANET
PPAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_POSTAL_PLANET_AIM_ID_ENABLE
POEN,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Postnet
02=Planet
03=Royal Mail
04=KIX
05=Australia Post
06=Japan Post
07=IMB
08=Sweden Post
09=Portugal Post",CI_POSTAL_CODE_SELECTION
POBB,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_POSTNET_BB_CONTROL
PNID,0x244C00,0x244C00,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_POSTNET
PMID,0x245600,0x245600,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_POSTAL_IMB
PMAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_POSTAL_IMB_AIM_ID_ENABLE
PLST,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_PLESSEY_STITCHING_ENABLE
PLMR,4,4,,,,,,,,,,,,,,,"[format=range]
min=01
max=04
step=01
[PRG_ValueIncluded=false]",CI_PLESSEY_MINIMUM_READ
PLLC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Variable-length decoding
01=Fixed-length decoding",CI_PLESSEY_LENGTH_CONTROL
PLL2,0x32,0x32,,,,,,,,,,,,,,,"[format=range]
min=00
max=0x32
step=01
[PRG_ValueIncluded=false]",CI_PLESSEY_LENGTH_2
PLL1,0x01,0x01,,,,,,,,,,,,,,,"[format=range]
min=01
max=0x32
step=01
[PRG_ValueIncluded=false]",CI_PLESSEY_LENGTH_1
PLID,0x610000,0x610000,,0x4F0000,,0x612000,,,0x612000,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_PLESSEY
PLEN,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_PLESSEY_ENABLE
PLDL,3,3,,,,,,,,,,,,,,,"[format=range]
min=00
max=05
step=01
[PRG_ValueIncluded=false]",CI_PLESSEY_DECODING_LEVEL
PLDA,3,3,,,,,,,,,,,,,,,"[format=range]
min=01
max=05
step=01
[PRG_ValueIncluded=false]",CI_PLESSEY_DIGIT_AGGRESSIVENESS
PLCT,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_PLESSEY_CHECK_CHARACTER_TRANSMISSION
PLCO,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_PLESSEY_CORRELATION_ENABLE
PLCC,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Plessey std check char verification
02=Anker check char verification
03=Plessey std and Anker check char verification",CI_PLESSEY_CHECK_CHARACTER_CALCULATION
PLAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_PLESSEY_AIM_ID_ENABLE
PKID,0x245500,0x245500,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_POSTAL_KIX
PKAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_POSTAL_KIX_AIM_ID_ENABLE
PJID,0x245200,0x245200,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_POSTAL_JAPANESE
PJAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_POSTAL_JAPANESE_AIM_ID_ENABLE
PGID,0x245000,0x245000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_POSTAL_PORTUGAL
PGAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_POSTAL_PORTUGAL_AIM_ID_ENABLE
PBAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_POSTAL_POSTNET_AIM_ID_ENABLE
PAID,0x244B00,0x244B00,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_POSTAL_AUSTRALIAN
PAAI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_POSTAL_AUSTRALIAN_AIM_ID_ENABLE
P4ZL,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_PDF417_PERMIT_ZERO_LENGTH
P4SA,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_MACRO_PDF417_ENABLE
P4MF,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_PDF417_MULTIFRAME_ENABLE
P4LC,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Variable-length decoding
01=Fixed-length decoding",CI_PDF417_LENGTH_CONTROL
P4L2,0x0A96,0x0A96,,,0x028A,,,,,,,,,0x028A,,,"[format=range]
min=0000
max=0x0A96
step=01
[PRG_ValueIncluded=false]",CI_PDF417_LENGTH_2
P4L1,0x0001,0x0001,,,,,,,,,,,,,,,"[format=range]
min=01
max=0x0A96
step=01
[PRG_ValueIncluded=false]",CI_PDF417_LENGTH_1
P4ID,0x500000,0x720000,,0x510000,0x500000,0x502000,,,0x502000,,0x720000,,,0x500000,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_PDF417
P4EN,0x01,0x01,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_PDF417_ENABLE
P4AI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_PDF417_AIM_ID_ENABLE
P3SS,0x00,0x00,,,0x01,,,,,,,,,0x01,,,"[format=selection]
00=Disable
01=Enable",CI_CODE32_START_STOP_CHARACTER_TRANSMISSION
P3ID,0x410000,0x580000,,,0x700000,0x412000,,,0x412000,0x4D0000,0x580000,,,0x700000,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_LABEL_ID_CODE39_PHARMACODE
P3EN,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_CODE32_ENABLE
P3CT,0x00,0x00,,,0x01,,,,,,,,,0x01,,,"[format=selection]
00=Disable
01=Enable",CI_CODE32_CHECK_CHARACTER_TRANSMISSION
P3AI,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=11",CI_CODE39_PHARMACODE_AIM_ID_ENABLE
OBID,0x247000,0x247000,,,,,,,,,,,,,,,,CI_LABEL_ID_OCR_B
OAID,0x246F00,0x246F00,,,,,,,,,,,,,,,,CI_LABEL_ID_OCR_A
NRSS,0,0,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_NOREADSTRING_STATUS
NORS,0,0,,,,,,,,,,,,,,,[format=ascii],CI_NOREAD_STRING
N2MR,0x01,0x01,,,,,,,,,,,,,,,"[format=range]
min=0x01
max=0x04
step=01
[PRG_ValueIncluded=false]",CI_EAN_TWO_LABEL_MINIMUM_READ
N2MI,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]
[ExtraOption=NotAvailableFor]
classes=11",CI_GLOBAL_MID_LABEL_ID
N2EN,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_ENABLE_EAN_TWO_LABEL
N2CT,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable
[ExtraOption=NotAvailableFor]
classes=2,3,6,8,10,11,12",CI_ENABLE_EAN_TWO_LABEL_COMBINED_TX
N2C6,0x0321FF29FF,0x0321FF29FF,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_EAN_TWO_LABEL_CONTROL6
N2C5,0x0321FF28FF,0x0321FF28FF,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_EAN_TWO_LABEL_CONTROL5
N2C4,0x0321FF22FF,0x0321FF22FF,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_EAN_TWO_LABEL_CONTROL4
N2C3,0x0321FF29FF,0x0321FF29FF,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_EAN_TWO_LABEL_CONTROL3
N2C2,0x0321FF28FF,0x0321FF28FF,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_EAN_TWO_LABEL_CONTROL2
N2C1,0x0321FF22FF,0x0321FF22FF,,,,,,,,,,,,,,,"[format=ascii]
padding=00
[PRG_ValueIncluded=false]",CI_EAN_TWO_LABEL_CONTROL1
MXPT,0x00,0x00,,,,,,,,,,,,,,,"[format=selection]
00=Disable
01=Enable",CI_MAXICODE_PRIMARY_MESSAGE_TRANSMISSION
